ID,Population,Temp,Mass,Cricket mass,MR,Status,OxD
A1A2,Southern,Cold,6.0958,0.2197,0.1839646,Baseline,9.93E-05
A1A2,Southern,Cold,6.0958,0.2197,0.1839646,Post,0.000207148
A1A2,Southern,Warm,6.6215,0.2498,1.1330628,Post,5.13E-06
A1A3,Southern,Warm,7.0286,0.2814,2.2571158,Baseline,0.000120928
A1A3,Southern,Warm,7.0286,0.2814,2.2571158,Post,0.000210647
A1A4,Southern,Cold,5.6462,0.253,0.1665964,Baseline,0.000100423
A1A4,Southern,Cold,5.6462,0.253,0.1665964,Post,0.000745077
A1A4,Southern,Warm,5.9715,0.2343,1.295305,Baseline,0.000929518
A1A4,Southern,Warm,5.9715,0.2343,1.295305,Post,0.000420735
A1D4,Southern,Cold,7.3792,0.3121,0.2363452,Baseline,3.84E-05
A1D4,Southern,Cold,7.3792,0.3121,0.2363452,Post,0.0010726
A1D4,Southern,Warm,6.979,0.2407,3.2331832,Baseline,0.001531414
A1D4,Southern,Warm,6.979,0.2407,3.2331832,Post,0.000701226
A2B2,Southern,Cold,9.0324,0.2709,0.1296952,Baseline,0.000755137
A2B2,Southern,Cold,9.0324,0.2709,0.1296952,Post,0.001708575
A3B3,Southern,Cold,5.9812,0.2421,0.202352,Baseline,2.88E-05
A3B3,Southern,Cold,5.9812,0.2421,0.202352,Post,0.000487383
A3B3,Southern,Warm,6.8187,0.2234,1.4798424,Baseline,0.000392316
A3B3,Southern,Warm,6.8187,0.2234,1.4798424,Post,2.47E-05
B1D3,Southern,Cold,7.4486,0.2797,0.265461,Baseline,1.59E-05
B1D3,Southern,Cold,7.4486,0.2797,0.265461,Post,0.000620802
B1D3,Southern,Warm,8.2406,0.2541,1.3558876,Baseline,1.23E-05
B1D3,Southern,Warm,8.2406,0.2541,1.3558876,Post,0.000327125
B1D5,Southern,Cold,11.62,0.51,0.473007,Baseline,1.57E-05
B1D5,Southern,Cold,11.62,0.51,0.473007,Post,0.001117294
B1D5,Southern,Warm,11.3756,0.1856,1.775822,Baseline,1.63E-05
B1D5,Southern,Warm,11.3756,0.1856,1.775822,Post,0.000257981
B2B3,Southern,Cold,8.8479,0.3494,0.302632,Baseline,7.16E-05
B2B3,Southern,Cold,8.8479,0.3494,0.302632,Post,0.000421348
B2B3,Southern,Warm,8.3254,0.3053,1.2283268,Baseline,0.000134636
B2B3,Southern,Warm,8.3254,0.3053,1.2283268,Post,1.93E-05
B2B3C2,Middle,Cold,8.2153,0.2482,0.253114,Baseline,0.001055978
B2B3C2,Middle,Cold,8.2153,0.2482,0.253114,Post,0.001888973
B2B3C2,Middle,Warm,8.1024,0.267,1.2183116,Baseline,0.000122673
B2B3C2,Middle,Warm,8.1024,0.267,1.2183116,Post,0.000184472
B2B4D1,Middle,Cold,7.0822,,0.2616824,Baseline,0.000407285
B2B4D1,Middle,Cold,7.0822,,0.2616824,Post,0.000473702
B2B4D1,Middle,Warm,7.5094,0.3084,1.4526214,Baseline,0.000117564
B2B4D1,Middle,Warm,7.5094,0.3084,1.4526214,Post,2.98E-05
B2B5,Middle,Cold,9.6407,0.3995,0.3022692,Baseline,0.000118554
B2B5,Middle,Cold,9.6407,0.3995,0.3022692,Post,0.000714977
B2B5,Middle,Warm,9.808,0.4633,1.8322536,Baseline,0.000507301
B2B5,Middle,Warm,9.808,0.4633,1.8322536,Post,0.000627819
B2B5C1,Middle,Cold,11.7543,0.5474,0.3239946,Baseline,0.00009237
B2B5C1,Middle,Cold,11.7543,0.5474,0.3239946,Post,0.000264224
B2B5C1,Middle,Warm,12.2081,0.3762,2.4935004,Baseline,7.37E-05
B2B5C1,Middle,Warm,12.2081,0.3762,2.4935004,Post,0.000146143
B3B4,Middle,Cold,10.5313,,,Baseline,0.000865045
B3B4,Middle,Cold,10.5313,,,Post,0.002463474
B3B4,Middle,Warm,10.5313,0.3935,2.5221274,Baseline,0.000772255
B3B4,Middle,Warm,10.5313,0.3935,2.5221274,Post,0.000440698
B3B5,Middle,Cold,6.7156,0.3157,0.362603,Baseline,0.000161876
B3B5,Middle,Cold,6.7156,0.3157,0.362603,Post,0.000442594
B3C2,Middle,Cold,13.7331,0.3514,0.4094782,Baseline,0.000120365
B3C2,Middle,Cold,13.7331,0.3514,0.4094782,Post,0.002394708
B3C2,Middle,Warm,13.9759,0.3774,2.531016,Baseline,0.000274241
B3C2,Middle,Warm,13.9759,0.3774,2.531016,Post,0.000112717
B3C3,Middle,Cold,8.8446,0.2501,0.162204,Baseline,8.03E-05
B3C3,Middle,Cold,8.8446,0.2501,0.162204,Post,0.000523717
B3C3,Middle,Warm,7.9962,0.3233,2.1752268,Baseline,0.000146037
B3C3,Middle,Warm,7.9962,0.3233,2.1752268,Post,0.000125569
B3C5,Middle,Cold,10.9797,0.432,0.4009028,Baseline,0.000635931
B3C5,Middle,Cold,10.9797,0.432,0.4009028,Post,0.00142448
B3C5,Middle,Warm,13.6648,0.312,1.2649518,Baseline,9.57E-05
B3C5,Middle,Warm,13.6648,0.312,1.2649518,Post,0.00013299
B3D1,Northern,Cold,5.0956,0.261,0.150733,Baseline,0.000122778
B3D1,Northern,Cold,5.0956,0.261,0.150733,Post,7.79E-05
B3D1,Northern,Warm,6.8518,0.2189,0.7053236,Baseline,3.94E-05
B3D1,Northern,Warm,6.8518,0.2189,0.7053236,Post,0.000183373
B4C1,Northern,Cold,13.2826,0.3631,0.441051,Baseline,0.000218392
B4C1,Northern,Cold,13.2826,0.3631,0.441051,Post,5.91E-05
B4C1,Northern,Warm,11.9704,0.4259,2.9275158,Baseline,6.04E-05
B4C1,Northern,Warm,11.9704,0.4259,2.9275158,Post,0.000024423
B4C2,Northern,Cold,12.9257,0.3255,0.1956714,Baseline,0.000562253
B4C2,Northern,Cold,12.9257,0.3255,0.1956714,Post,9.93E-05
B4C2,Northern,Warm,11.0582,0.414,2.9209318,Baseline,0.000176795
B4C2,Northern,Warm,11.0582,0.414,2.9209318,Post,0.000170531
B4D1,Northern,Cold,9.7523,0.3596,0.3643966,Baseline,9.03E-05
B4D1,Northern,Cold,9.7523,0.3596,0.3643966,Post,5.67E-05
B4D1,Northern,Warm,11.6049,0.3299,1.8854906,Baseline,0.000373533
B4D1,Northern,Warm,11.6049,0.3299,1.8854906,Post,0.00017918
B4D2,Northern,Cold,7.516,0.2817,0.2236786,Baseline,0.000278745
B4D2,Northern,Cold,7.516,0.2817,0.2236786,Post,1.95E-05
B4D2,Northern,Warm,8.7931,0.2536,1.5479948,Baseline,0.000333681
B4D2,Northern,Warm,8.7931,0.2536,1.5479948,Post,0.000128585
B4D3,Northern,Cold,8.8123,0.2383,0.333339,Baseline,0.001259196
B4D3,Northern,Cold,8.8123,0.2383,0.333339,Post,0.000415739